"","2017-10-05","2017-10-06","2017-10-07"
"GOLD","1268.2","1278.4","1268.2"
"OIL","54.47","54.62","54.47"
"BCFuturePrice5Days","4754.6988","4830.7663","5439.1338"
"BCCurrentPrice","4322.755","4370.245","4437.0338"
"GNEWS_Min","-7","-7","-6"
"GNEWS_FirstQ","-3","-3","-3"
"GNEWS_Med","-1","-1","-1"
"GNEWS_Mean","-1.708","-1.505","-1.43"
"GNEWS_ThirdQ","-1","0","-0.5"
"GNEWS_Max","2","3","2"
"TWITTER_Min","-3","-2","-1"
"TWITTER_FirstQ","0","-1","-1"
"TWITTER_Med","0","0","-0.5"
"TWITTER_Mean","-0.3529","-0.4091","-0.3182"
"TWITTER_ThirdQ","0","0","0"
"TWITTER_Max","0","1","2"
